venue_name,mic,equity_pfof_usd,options_pfof_usd,total_pfof_received_usd,market_share_pct,broker_count,exclusive_broker_count
Morgan Stanley (MSCO),,0.0,0.0,0.0,0.0,1,0
UBS,,0.0,0.0,0.0,0.0,3,0
Pershing,,0.0,0.0,0.0,0.0,1,1
International Securities Exchange,ISEG,0.0,0.0,0.0,0.0,1,0
NASDAQ Execution Services LLC,NQBX,0.0,0.0,0.0,0.0,1,0
"Virtu Financial, Inc.",,0.0,0.0,0.0,0.0,1,0
Tower Research Capital Trcx,,0.0,0.0,0.0,0.0,1,0
GSAT,GSAT,0.0,0.0,0.0,0.0,1,0
NYP1,NYP1,0.0,0.0,0.0,0.0,1,0
Interactive Brokers LLC,,0.0,0.0,0.0,0.0,2,0
Wells Fargo Securities,,0.0,0.0,0.0,0.0,1,0
"Wells Fargo Clearing Services, LLC",,0.0,0.0,0.0,0.0,1,0
MCAP LLC,,0.0,0.0,0.0,0.0,1,0
C2 (C20X),C20X,0.0,0.0,0.0,0.0,1,0
RBC Capital Markets Corp (RBCD),,0.0,0.0,0.0,0.0,1,0
"Clearpool Execution Services, LLC (CPEX)",,0.0,0.0,0.0,0.0,1,0
"R. F. Lafferty & Co., Inc. (LAFC)",,0.0,0.0,0.0,0.0,1,0
Prebon Financial Products Inc.,,0.0,0.0,0.0,0.0,1,0
nan,,0.0,0.0,0.0,0.0,1,0
OMCASY,,0.0,0.0,0.0,0.0,1,0
"TJM Investments, LLC",TJMI,0.0,0.0,0.0,0.0,2,0
OTHE,OTHE,0.0,0.0,0.0,0.0,1,0
Pershing LLC,PERT,0.0,0.0,0.0,0.0,1,0
INFX:FOXRIVER,,0.0,0.0,0.0,0.0,1,0
CAPSTONE INVESTMENTS,,0.0,0.0,0.0,0.0,1,0
CSOT,,0.0,0.0,0.0,0.0,1,0
"C. L. KING + ASSOCIATES, INC.",,0.0,0.0,0.0,0.0,1,0
Old Mission Markets LLC,,0.0,0.0,0.0,0.0,1,0
MATRIXOPT-MULT,,0.0,0.0,0.0,0.0,1,0
MATRIXOPT,,0.0,0.0,0.0,0.0,1,0
"SageTrader, LLC",,0.0,0.0,0.0,0.0,1,0
ROCKEFELLER FINANCIAL LLC,ROCK,0.0,0.0,0.0,0.0,1,0
MCAP,MCAP,0.0,0.0,0.0,0.0,4,0
"WATERS, PARKERSON & CO., INC.",,0.0,0.0,0.0,0.0,1,0
DASH OPTIONS - CBOEEH,,0.0,0.0,0.0,0.0,1,0
"VIRTU Americas, LLC",VRTU,0.0,0.0,0.0,0.0,1,0
DOT,,0.0,0.0,0.0,0.0,1,0
"LAKESHORE SECURITIES, L.P.",,0.0,0.0,0.0,0.0,1,0
Hamilton Executions LLC,,0.0,0.0,0.0,0.0,1,0
X-Change Financial Access LLC,,0.0,0.0,0.0,0.0,1,0
TRFX,,0.0,0.0,0.0,0.0,1,0
GEB,,0.0,0.0,0.0,0.0,1,0
Flow Traders,FLWU,0.0,0.0,0.0,0.0,1,0
Buckman Buckman & Reid INC,BBAR,0.0,0.0,0.0,0.0,1,1
"KEPLER CAPITAL MARKETS, INC.",CRAG,0.0,0.0,0.0,0.0,1,0
NEWEDGE SECURITIES INC,MACC,0.0,0.0,0.0,0.0,1,0
SANTANDER SECURITIES,SSNE,0.0,0.0,0.0,0.0,1,0
CODA,CODA,0.0,0.0,0.0,0.0,2,0
Valic Financial Advisor Inc,AGFA,0.0,0.0,0.0,0.0,1,0
"TJM INVESTMENTS, LLC",,0.0,0.0,0.0,0.0,1,0
Citadel Securities LLC,OPCT,0.0,0.0,0.0,0.0,1,0
Goldman Sachs & Co. LLC,,0.0,0.0,0.0,0.0,1,0
"Global Trading Systems, LLC",,0.0,0.0,0.0,0.0,1,0
FTSR,,0.0,0.0,0.0,0.0,1,0
INTL FC Stone Financial Inc.,,0.0,0.0,0.0,0.0,3,0
"Matrix Capital Group, Inc.",,0.0,0.0,0.0,0.0,4,0
First Clearing,,0.0,0.0,0.0,0.0,1,1
Unknown,SMRI,0.0,0.0,0.0,0.0,1,0
"JP Morgan Securities, LLC",,0.0,0.0,0.0,0.0,1,0
"MATRIX EXECUTIONS, LLC",MTRX,0.0,0.0,0.0,0.0,1,0
"Instinet, CBX",,0.0,0.0,0.0,0.0,1,0
A.G.P. / ALLIANCE GLOBAL PARTN,ALNC,0.0,0.0,0.0,0.0,1,0
ARCO,,0.0,0.0,0.0,0.0,1,0
BATO,,0.0,0.0,0.0,0.0,1,0
XNDQ,,0.0,0.0,0.0,0.0,1,0
SPHR,,0.0,0.0,0.0,0.0,1,0
MPRL,,0.0,0.0,0.0,0.0,1,0
XBXO,,0.0,0.0,0.0,0.0,1,0
Virtu VEQ,,-0.08,0.0,-0.08,-0.0,3,0
XISX,,0.0,-0.98,-0.98,-0.0,1,0
"Paulson Investment Company, In",PAUL,-1.0,0.0,-1.0,-0.0,1,1
XBOX,,0.0,-1.7,-1.7,-0.0,1,0
EDGO,,0.0,-4.41,-4.41,-0.0,1,0
"Clear Street, LLC",,0.0,-5.0,-5.0,-0.0,2,0
"Clearpool Execution Services, LLC",,-6.7,0.0,-6.7,-0.0,3,0
Imperative X,,-13.05,0.0,-13.05,-0.0,1,0
24X National Exchange LLC,24EQ,-18.0,0.0,-18.0,-0.0,1,0
GMNI,,0.0,-25.52,-25.52,-0.0,1,0
Cantor Fitzgerald and Co.,CSTI,-28.32,0.0,-28.32,-0.0,1,0
TRADITION SECURITIES AND DERIVATIVES INC.,,0.0,-34.25,-34.25,-0.0,1,0
XCBO,,0.0,-43.07,-43.07,-0.0,1,0
Lakeshore,,0.0,-46.44,-46.44,-0.0,1,0
XMIO,,0.0,-53.0,-53.0,-0.0,1,0
Casey Securities LLC,,0.0,-100.94,-100.94,-0.0,1,0
DASH FINANCIAL LLC,,0.0,-145.86,-145.86,-0.0,1,0
Jane Street Execution Services Llc,,-190.96,0.0,-190.96,-0.0,1,0
CANACCORD GENUITY INC.,ADAM,-241.75,0.0,-241.75,-0.0,1,0
XFAS,,0.0,-306.28,-306.28,-0.0,1,0
CTDO,CTDO,0.0,-309.6,-309.6,-0.0,1,0
"MIAX PEARL, LLC",EPRL,0.0,-338.32,-338.32,-0.0,5,0
Cboe BZX,,0.0,-341.59,-341.59,-0.0,1,0
NEXUS,,0.0,-427.4,-427.4,-0.0,1,0
"Comhar Capital Markets, LLC - Us Equities",,-558.94,0.0,-558.94,-0.0,1,0
New York Stock Exchange LLC,,-591.24,0.0,-591.24,-0.0,2,0
"Goldman, Sachs & Co. LLC",GSCO,-650.0,0.0,-650.0,-0.0,51,0
LeveL ATS,EBXL,-677.54,0.0,-677.54,-0.0,3,0
OTCM,,-785.58,0.0,-785.58,-0.0,1,0
NASDAQ OMX PSX,XPSX,-830.19,0.0,-830.19,-0.0,2,0
CBOE GLOBAL MARKETS INC.,CBOE,0.0,-1128.14,-1128.14,-0.0,8,0
CASY,,0.0,-1190.52,-1190.52,-0.0,2,0
PERX,,-1207.07,0.0,-1207.07,-0.0,3,1
ISE Mercury,,0.0,-1249.84,-1249.84,-0.0,1,0
"D & D Securities, Inc.",,0.0,-1307.6,-1307.6,-0.0,2,0
UBS ATS,UBSA,-1543.69,0.0,-1543.69,-0.0,5,0
ICAP,,0.0,-1597.2,-1597.2,-0.0,1,0
DASH OPTIONS - PHLX,,0.0,-1651.18,-1651.18,-0.0,1,0
GTS,GTSS,-1674.3,0.0,-1674.3,-0.0,1,0
HRT EXECUTION SERVICES LLC,HRTX,-1858.98,0.0,-1858.98,-0.0,1,0
Jane Street Midpoint,JSES,-1886.09,0.0,-1886.09,-0.0,3,0
"Miami International Securities Exchange, LLC",,0.0,-2247.62,-2247.62,-0.0,13,0
NYSE Arca,,399.01,-2669.6,-2270.59,-0.0,1,0
BOX,,0.0,-2303.85,-2303.85,-0.0,1,0
"MIAX PEARL, LLC",,0.0,-2362.36,-2362.36,-0.0,1,0
DASH OPTIONS - EMLD,,0.0,-2425.41,-2425.41,-0.0,1,0
DASH OPTIONS - NOM,,0.0,-2438.86,-2438.86,-0.0,1,0
"Nasdaq MRX, LLC",,0.0,-2549.19,-2549.19,-0.0,3,0
Hamilton,,0.0,-3369.43,-3369.43,-0.0,1,0
VIRTU AMERICAS LLC,NITE,-3641.58,0.0,-3641.58,-0.0,114,1
EDGX,,0.0,-3775.53,-3775.53,-0.0,1,0
DASH EQUITIES (DASH),,-4741.49,0.0,-4741.49,-0.0,1,0
NYSE Arca,ARCA,-4874.97,-1436.46,-6311.44,-0.0,19,0
NASDAQ PHLX,,0.0,-7451.94,-7451.94,-0.0,2,0
"Nasdaq BX, Inc.",,0.0,-7995.08,-7995.08,-0.0,3,0
DASH OPTIONS - C2,,0.0,-8040.62,-8040.62,-0.0,1,0
DASH OPTIONS - MIAX,,0.0,-8343.49,-8343.49,-0.0,1,0
"Bofa Securities, Inc.",MLCO,0.0,-8780.97,-8780.97,-0.0,2,0
DASH OPTIONS - MPRL,,0.0,-9055.58,-9055.58,-0.0,1,0
"Cboe EDGA Exchange, Inc.",,-9213.31,0.0,-9213.31,-0.0,2,0
DASH OPTIONS - BX,,0.0,-10106.28,-10106.28,-0.0,1,0
